"datum","gkz","neu_positive_tests"
"2020-02-26","701",2
"2020-02-27","901",1
"2020-02-27","921",2
"2020-02-28","312",3
"2020-02-28","506",1
"2020-02-28","617",1
"2020-02-28","921",1
"2020-03-01","506",1
"2020-03-01","916",1
"2020-03-01","922",1
"2020-03-02","312",1
"2020-03-02","601",1
"2020-03-02","912",2
"2020-03-02","921",1
"2020-03-03","312",2
"2020-03-03","504",1
"2020-03-03","621",1
"2020-03-03","901",1
"2020-03-03","904",1
"2020-03-03","908",1
"2020-03-03","921",1
"2020-03-04","208",1
"2020-03-04","312",7
"2020-03-04","416",1
"2020-03-04","506",1
"2020-03-04","904",1
"2020-03-04","915",1
"2020-03-04","922",1
"2020-03-05","312",8
"2020-03-05","316",1
"2020-03-05","321",1
"2020-03-05","503",1
"2020-03-05","617",1
"2020-03-05","704",1
"2020-03-05","706",1
"2020-03-05","802",1
"2020-03-05","906",1
"2020-03-06","312",2
"2020-03-06","321",5
"2020-03-06","410",2
"2020-03-06","416",1
"2020-03-06","601",1
"2020-03-06","620",1
"2020-03-06","701",2
"2020-03-06","703",1
"2020-03-06","908",1
"2020-03-06","912",4
"2020-03-06","922",1
"2020-03-07","107",4
"2020-03-07","310",1
"2020-03-07","312",1
"2020-03-07","401",1
"2020-03-07","402",1
"2020-03-07","418",1
"2020-03-07","503",1
"2020-03-07","506",2
"2020-03-07","622",2
"2020-03-07","905",1
"2020-03-07","910",1
"2020-03-07","920",1
"2020-03-08","321",4
"2020-03-08","401",1
"2020-03-08","416",1
"2020-03-08","418",1
"2020-03-08","506",1
"2020-03-08","622",1
"2020-03-08","706",14
"2020-03-08","803",1
"2020-03-08","906",1
"2020-03-08","914",1
"2020-03-08","919",1
"2020-03-08","921",1
"2020-03-08","922",3
"2020-03-09","206",2
"2020-03-09","305",2
"2020-03-09","310",1
"2020-03-09","312",1
"2020-03-09","321",1
"2020-03-09","402",1
"2020-03-09","403",1
"2020-03-09","408",1
"2020-03-09","410",1
"2020-03-09","411",1
"2020-03-09","418",1
"2020-03-09","506",2
"2020-03-09","611",4
"2020-03-09","620",2
"2020-03-09","622",2
"2020-03-09","803",1
"2020-03-09","902",1
"2020-03-09","920",1
"2020-03-10","312",2
"2020-03-10","317",1
"2020-03-10","321",1
"2020-03-10","401",2
"2020-03-10","403",1
"2020-03-10","408",1
"2020-03-10","411",3
"2020-03-10","412",3
"2020-03-10","416",3
"2020-03-10","417",1
"2020-03-10","418",4
"2020-03-10","506",1
"2020-03-10","620",1
"2020-03-10","701",5
"2020-03-10","706",18
"2020-03-10","709",1
"2020-03-10","801",3
"2020-03-10","802",6
"2020-03-10","907",1
"2020-03-10","908",2
"2020-03-10","915",1
"2020-03-10","916",2
"2020-03-10","922",1
"2020-03-10","923",1
"2020-03-11","107",2
"2020-03-11","305",5
"2020-03-11","306",2
"2020-03-11","307",2
"2020-03-11","312",1
"2020-03-11","316",1
"2020-03-11","317",1
"2020-03-11","318",1
"2020-03-11","319",2
"2020-03-11","321",2
"2020-03-11","401",5
"2020-03-11","403",2
"2020-03-11","407",2
"2020-03-11","408",1
"2020-03-11","410",2
"2020-03-11","411",7
"2020-03-11","414",1
"2020-03-11","416",4
"2020-03-11","417",1
"2020-03-11","501",2
"2020-03-11","601",1
"2020-03-11","606",1
"2020-03-11","620",2
"2020-03-11","622",3
"2020-03-11","701",2
"2020-03-11","702",1
"2020-03-11","703",5
"2020-03-11","706",21
"2020-03-11","708",1
"2020-03-11","802",1
"2020-03-11","803",2
"2020-03-11","903",1
"2020-03-11","909",2
"2020-03-11","912",1
"2020-03-11","913",1
"2020-03-11","916",1
"2020-03-11","917",1
"2020-03-11","919",1
"2020-03-11","922",1
"2020-03-11","923",1
"2020-03-12","305",2
"2020-03-12","312",2
"2020-03-12","314",1
"2020-03-12","315",3
"2020-03-12","317",1
"2020-03-12","319",2
"2020-03-12","401",5
"2020-03-12","403",2
"2020-03-12","406",1
"2020-03-12","410",5
"2020-03-12","411",2
"2020-03-12","412",2
"2020-03-12","413",1
"2020-03-12","416",3
"2020-03-12","417",1
"2020-03-12","501",3
"2020-03-12","506",3
"2020-03-12","601",5
"2020-03-12","606",5
"2020-03-12","610",1
"2020-03-12","622",2
"2020-03-12","623",4
"2020-03-12","701",23
"2020-03-12","702",1
"2020-03-12","703",12
"2020-03-12","706",32
"2020-03-12","709",2
"2020-03-12","802",1
"2020-03-12","803",1
"2020-03-12","903",1
"2020-03-12","911",1
"2020-03-12","922",1
"2020-03-13","106",1
"2020-03-13","109",2
"2020-03-13","201",1
"2020-03-13","207",1
"2020-03-13","305",16
"2020-03-13","312",3
"2020-03-13","313",1
"2020-03-13","314",1
"2020-03-13","316",2
"2020-03-13","317",1
"2020-03-13","318",1
"2020-03-13","319",2
"2020-03-13","321",7
"2020-03-13","401",8
"2020-03-13","403",3
"2020-03-13","406",2
"2020-03-13","407",2
"2020-03-13","408",3
"2020-03-13","409",1
"2020-03-13","410",3
"2020-03-13","411",3
"2020-03-13","412",1
"2020-03-13","413",3
"2020-03-13","414",1
"2020-03-13","415",1
"2020-03-13","416",7
"2020-03-13","417",1
"2020-03-13","418",2
"2020-03-13","501",5
"2020-03-13","503",1
"2020-03-13","504",2
"2020-03-13","505",1
"2020-03-13","506",3
"2020-03-13","601",7
"2020-03-13","606",4
"2020-03-13","610",2
"2020-03-13","611",3
"2020-03-13","616",2
"2020-03-13","617",4
"2020-03-13","619",1
"2020-03-13","620",2
"2020-03-13","621",3
"2020-03-13","622",3
"2020-03-13","623",1
"2020-03-13","701",16
"2020-03-13","703",7
"2020-03-13","704",1
"2020-03-13","706",11
"2020-03-13","802",7
"2020-03-13","804",2
"2020-03-13","903",1
"2020-03-13","905",1
"2020-03-13","906",3
"2020-03-13","910",2
"2020-03-13","911",1
"2020-03-13","913",1
"2020-03-13","915",1
"2020-03-13","916",1
"2020-03-13","920",1
"2020-03-13","921",1
"2020-03-13","922",1
"2020-03-14","201",2
"2020-03-14","202",1
"2020-03-14","204",2
"2020-03-14","207",2
"2020-03-14","302",1
"2020-03-14","304",1
"2020-03-14","305",4
"2020-03-14","308",2
"2020-03-14","312",2
"2020-03-14","313",4
"2020-03-14","315",2
"2020-03-14","316",4
"2020-03-14","317",3
"2020-03-14","319",2
"2020-03-14","321",3
"2020-03-14","401",9
"2020-03-14","403",1
"2020-03-14","404",1
"2020-03-14","406",2
"2020-03-14","407",3
"2020-03-14","408",1
"2020-03-14","409",2
"2020-03-14","410",1
"2020-03-14","411",3
"2020-03-14","412",2
"2020-03-14","413",2
"2020-03-14","415",4
"2020-03-14","416",9
"2020-03-14","418",2
"2020-03-14","501",2
"2020-03-14","502",1
"2020-03-14","503",4
"2020-03-14","601",7
"2020-03-14","603",1
"2020-03-14","606",1
"2020-03-14","610",5
"2020-03-14","616",2
"2020-03-14","620",1
"2020-03-14","622",2
"2020-03-14","623",3
"2020-03-14","701",3
"2020-03-14","702",2
"2020-03-14","703",2
"2020-03-14","706",31
"2020-03-14","709",1
"2020-03-14","802",2
"2020-03-14","803",2
"2020-03-14","804",8
"2020-03-14","901",2
"2020-03-14","902",2
"2020-03-14","903",1
"2020-03-14","904",3
"2020-03-14","907",1
"2020-03-14","910",1
"2020-03-14","913",1
"2020-03-14","914",1
"2020-03-14","915",1
"2020-03-14","920",1
"2020-03-14","922",1
"2020-03-14","923",2
"2020-03-15","201",5
"2020-03-15","203",1
"2020-03-15","204",1
"2020-03-15","205",1
"2020-03-15","209",1
"2020-03-15","304",1
"2020-03-15","305",11
"2020-03-15","306",3
"2020-03-15","307",2
"2020-03-15","312",6
"2020-03-15","313",1
"2020-03-15","316",1
"2020-03-15","317",8
"2020-03-15","319",3
"2020-03-15","320",2
"2020-03-15","321",1
"2020-03-15","401",6
"2020-03-15","405",2
"2020-03-15","406",3
"2020-03-15","407",3
"2020-03-15","409",1
"2020-03-15","410",14
"2020-03-15","411",7
"2020-03-15","413",5
"2020-03-15","415",3
"2020-03-15","416",8
"2020-03-15","501",3
"2020-03-15","504",1
"2020-03-15","505",1
"2020-03-15","506",9
"2020-03-15","601",6
"2020-03-15","606",4
"2020-03-15","610",6
"2020-03-15","612",2
"2020-03-15","622",8
"2020-03-15","701",4
"2020-03-15","702",3
"2020-03-15","703",3
"2020-03-15","706",11
"2020-03-15","708",1
"2020-03-15","801",3
"2020-03-15","802",2
"2020-03-15","803",4
"2020-03-15","804",7
"2020-03-15","902",1
"2020-03-15","903",2
"2020-03-15","904",2
"2020-03-15","905",2
"2020-03-15","906",3
"2020-03-15","908",1
"2020-03-15","909",2
"2020-03-15","910",1
"2020-03-15","912",1
"2020-03-15","913",1
"2020-03-15","916",1
"2020-03-15","919",3
"2020-03-15","921",2
"2020-03-15","922",2
"2020-03-15","923",1
"2020-03-16","103",4
"2020-03-16","105",1
"2020-03-16","107",3
"2020-03-16","201",6
"2020-03-16","203",1
"2020-03-16","204",1
"2020-03-16","206",3
"2020-03-16","207",2
"2020-03-16","208",3
"2020-03-16","209",1
"2020-03-16","304",1
"2020-03-16","305",5
"2020-03-16","307",3
"2020-03-16","312",7
"2020-03-16","316",1
"2020-03-16","317",2
"2020-03-16","318",12
"2020-03-16","321",1
"2020-03-16","401",6
"2020-03-16","403",1
"2020-03-16","406",1
"2020-03-16","407",1
"2020-03-16","409",4
"2020-03-16","410",4
"2020-03-16","411",3
"2020-03-16","413",2
"2020-03-16","416",5
"2020-03-16","417",2
"2020-03-16","418",3
"2020-03-16","501",2
"2020-03-16","502",1
"2020-03-16","503",4
"2020-03-16","504",5
"2020-03-16","506",3
"2020-03-16","601",9
"2020-03-16","603",2
"2020-03-16","606",12
"2020-03-16","610",4
"2020-03-16","612",4
"2020-03-16","614",1
"2020-03-16","616",1
"2020-03-16","617",4
"2020-03-16","619",2
"2020-03-16","620",3
"2020-03-16","622",3
"2020-03-16","623",2
"2020-03-16","701",18
"2020-03-16","702",5
"2020-03-16","703",14
"2020-03-16","704",1
"2020-03-16","705",6
"2020-03-16","706",27
"2020-03-16","707",8
"2020-03-16","708",2
"2020-03-16","709",2
"2020-03-16","801",9
"2020-03-16","802",10
"2020-03-16","803",2
"2020-03-16","804",9
"2020-03-16","904",1
"2020-03-16","906",1
"2020-03-16","907",1
"2020-03-16","910",2
"2020-03-16","911",1
"2020-03-16","912",2
"2020-03-16","914",1
"2020-03-16","919",3
"2020-03-16","921",2
"2020-03-16","922",2
"2020-03-16","923",1
"2020-03-17","106",2
"2020-03-17","107",1
"2020-03-17","201",1
"2020-03-17","202",3
"2020-03-17","206",2
"2020-03-17","208",5
"2020-03-17","301",1
"2020-03-17","302",1
"2020-03-17","305",5
"2020-03-17","306",3
"2020-03-17","307",1
"2020-03-17","312",1
"2020-03-17","313",2
"2020-03-17","314",1
"2020-03-17","315",1
"2020-03-17","316",1
"2020-03-17","317",12
"2020-03-17","318",7
"2020-03-17","319",4
"2020-03-17","320",1
"2020-03-17","321",12
"2020-03-17","322",1
"2020-03-17","401",13
"2020-03-17","402",1
"2020-03-17","403",1
"2020-03-17","404",2
"2020-03-17","405",2
"2020-03-17","406",1
"2020-03-17","407",1
"2020-03-17","408",1
"2020-03-17","409",3
"2020-03-17","410",1
"2020-03-17","411",4
"2020-03-17","412",1
"2020-03-17","413",4
"2020-03-17","414",4
"2020-03-17","415",5
"2020-03-17","416",6
"2020-03-17","417",4
"2020-03-17","418",3
"2020-03-17","501",3
"2020-03-17","503",7
"2020-03-17","504",8
"2020-03-17","506",8
"2020-03-17","601",13
"2020-03-17","603",1
"2020-03-17","606",1
"2020-03-17","610",3
"2020-03-17","612",4
"2020-03-17","616",4
"2020-03-17","617",12
"2020-03-17","622",2
"2020-03-17","623",1
"2020-03-17","701",20
"2020-03-17","702",2
"2020-03-17","703",6
"2020-03-17","704",1
"2020-03-17","705",1
"2020-03-17","706",7
"2020-03-17","707",12
"2020-03-17","708",2
"2020-03-17","709",2
"2020-03-17","801",5
"2020-03-17","802",5
"2020-03-17","803",2
"2020-03-17","804",10
"2020-03-17","901",2
"2020-03-17","902",3
"2020-03-17","903",3
"2020-03-17","904",4
"2020-03-17","906",3
"2020-03-17","908",3
"2020-03-17","910",3
"2020-03-17","911",6
"2020-03-17","913",2
"2020-03-17","914",1
"2020-03-17","915",2
"2020-03-17","916",1
"2020-03-17","917",1
"2020-03-17","918",4
"2020-03-17","919",3
"2020-03-17","920",1
"2020-03-17","921",3
"2020-03-17","922",2
"2020-03-18","105",1
"2020-03-18","107",1
"2020-03-18","108",1
"2020-03-18","109",2
"2020-03-18","201",3
"2020-03-18","205",1
"2020-03-18","206",1
"2020-03-18","208",3
"2020-03-18","305",4
"2020-03-18","306",1
"2020-03-18","307",1
"2020-03-18","312",1
"2020-03-18","313",2
"2020-03-18","315",2
"2020-03-18","316",3
"2020-03-18","317",3
"2020-03-18","318",1
"2020-03-18","319",10
"2020-03-18","321",4
"2020-03-18","401",5
"2020-03-18","403",2
"2020-03-18","404",1
"2020-03-18","405",1
"2020-03-18","406",8
"2020-03-18","407",1
"2020-03-18","408",1
"2020-03-18","409",3
"2020-03-18","410",3
"2020-03-18","411",7
"2020-03-18","412",2
"2020-03-18","413",3
"2020-03-18","414",3
"2020-03-18","415",4
"2020-03-18","416",9
"2020-03-18","417",3
"2020-03-18","418",1
"2020-03-18","501",4
"2020-03-18","502",2
"2020-03-18","503",4
"2020-03-18","504",13
"2020-03-18","506",1
"2020-03-18","601",12
"2020-03-18","603",3
"2020-03-18","606",1
"2020-03-18","610",6
"2020-03-18","617",4
"2020-03-18","619",2
"2020-03-18","621",1
"2020-03-18","622",5
"2020-03-18","623",3
"2020-03-18","701",12
"2020-03-18","702",5
"2020-03-18","703",6
"2020-03-18","704",13
"2020-03-18","705",16
"2020-03-18","706",26
"2020-03-18","707",2
"2020-03-18","709",4
"2020-03-18","801",19
"2020-03-18","802",3
"2020-03-18","803",1
"2020-03-18","804",9
"2020-03-18","901",2
"2020-03-18","902",4
"2020-03-18","903",2
"2020-03-18","904",1
"2020-03-18","905",1
"2020-03-18","906",3
"2020-03-18","907",1
"2020-03-18","908",2
"2020-03-18","910",3
"2020-03-18","911",2
"2020-03-18","912",2
"2020-03-18","913",4
"2020-03-18","914",5
"2020-03-18","916",1
"2020-03-18","917",3
"2020-03-18","919",5
"2020-03-18","920",3
"2020-03-18","921",5
"2020-03-18","922",3
"2020-03-18","923",1
